. Sequence file : [C:\Users\thsch\AppData\Local\Temp\seaview_tmp5.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	28   	-32251.77773	Yes        	4        	0.017    	0.000    	 0.18945   0.26314   0.24528   0.30213	-1.23362   0.19972   0.92733   0.10657  
      	     	          	           	          	           	             	                                      	 0.14379  -0.97948   0.17840   0.65729  
      	     	          	           	          	           	             	                                      	 0.71625   0.19139  -1.09677   0.18913  
      	     	          	           	          	           	             	                                      	 0.06682   0.57247   0.15354  -0.79283  

  #2	28   	-30996.97151	Yes        	4        	0.017    	0.000    	 0.19576   0.26059   0.24069   0.30296	-1.18647   0.18625   0.83869   0.16152  
      	     	          	           	          	           	             	                                      	 0.13991  -0.99321   0.16802   0.68527  
      	     	          	           	          	           	             	                                      	 0.68210   0.18192  -1.05256   0.18854  
      	     	          	           	          	           	             	                                      	 0.10437   0.58944   0.14979  -0.84360  

  #3	28   	-30896.67158	Yes        	4        	0.021    	0.000    	 0.19688   0.25818   0.24112   0.30382	-1.23034   0.21018   0.90030   0.11986  
      	     	          	           	          	           	             	                                      	 0.16028  -0.99984   0.17340   0.66615  
      	     	          	           	          	           	             	                                      	 0.73513   0.18567  -1.09088   0.17008  
      	     	          	           	          	           	             	                                      	 0.07767   0.56609   0.13498  -0.77874  

  #4	28   	-31082.86619	Yes        	4        	0.017    	0.000    	 0.19915   0.24866   0.25083   0.30135	-1.12161   0.18066   0.79740   0.14355  
      	     	          	           	          	           	             	                                      	 0.14469  -1.08339   0.16316   0.77554  
      	     	          	           	          	           	             	                                      	 0.63311   0.16175  -0.96711   0.17224  
      	     	          	           	          	           	             	                                      	 0.09487   0.63996   0.14337  -0.87820  

  #5	28   	-31394.72256	Yes        	4        	0.021    	0.000    	 0.19961   0.26186   0.24136   0.29717	-1.20968   0.16886   0.91811   0.12272  
      	     	          	           	          	           	             	                                      	 0.12872  -0.97718   0.13735   0.71112  
      	     	          	           	          	           	             	                                      	 0.75928   0.14901  -1.05892   0.15064  
      	     	          	           	          	           	             	                                      	 0.08243   0.62663   0.12235  -0.83141  

  #6	28   	-31366.55212	Yes        	4        	0.017    	0.000    	 0.19382   0.25052   0.25177   0.30389	-1.25386   0.15967   0.96990   0.12428  
      	     	          	           	          	           	             	                                      	 0.12354  -0.98791   0.16002   0.70435  
      	     	          	           	          	           	             	                                      	 0.74667   0.15923  -1.06649   0.16059  
      	     	          	           	          	           	             	                                      	 0.07927   0.58066   0.13304  -0.79297  

  #7	28   	-31246.24869	Yes        	4        	0.017    	0.000    	 0.19507   0.25917   0.24119   0.30456	-1.24207   0.18114   0.92298   0.13795  
      	     	          	           	          	           	             	                                      	 0.13634  -0.95936   0.13700   0.68602  
      	     	          	           	          	           	             	                                      	 0.74649   0.14721  -1.07778   0.18408  
      	     	          	           	          	           	             	                                      	 0.08836   0.58379   0.14578  -0.81793  

  #8	28   	-31422.01825	Yes        	4        	0.017    	0.000    	 0.19938   0.25617   0.24224   0.30221	-1.24512   0.17789   0.93648   0.13074  
      	     	          	           	          	           	             	                                      	 0.13846  -0.96255   0.18101   0.64308  
      	     	          	           	          	           	             	                                      	 0.77078   0.19142  -1.12996   0.16777  
      	     	          	           	          	           	             	                                      	 0.08626   0.54512   0.13448  -0.76585  

  #9	28   	-31650.23936	Yes        	4        	0.021    	0.000    	 0.20018   0.26010   0.24272   0.29701	-1.12140   0.13266   0.85817   0.13057  
      	     	          	           	          	           	             	                                      	 0.10210  -0.98259   0.16923   0.71126  
      	     	          	           	          	           	             	                                      	 0.70775   0.18135  -1.08071   0.19161  
      	     	          	           	          	           	             	                                      	 0.08800   0.62288   0.15659  -0.86747  

  #10	28   	-31480.19837	Yes        	4        	0.017    	0.000    	 0.19587   0.25831   0.24702   0.29880	-1.22567   0.18288   0.90695   0.13584  
      	     	          	           	          	           	             	                                      	 0.13868  -0.98030   0.17570   0.66592  
      	     	          	           	          	           	             	                                      	 0.71917   0.18374  -1.07506   0.17214  
