FST	Target Het.	MeanHetBP	MeanHetWP	NumMutsOnTree	Target Mean FST = 0.0579811
0	0.0713997	0	0	0
-0.00329773	0.443252	0.638611	0.640717	6
0.033579	0.43444	0.820814	0.793252	7
0	0.195806	0	0	0
0.0348295	0.466468	0.682568	0.658795	8
0	0.0155548	0	0	0
0.0350982	0.289672	0.346732	0.334562	3
0.0295908	0.192543	0.42486	0.412288	3
0.00534201	0.382132	0.481142	0.478572	3
0	0.170916	0	0	0
0.0885703	0.098222	0.0576358	0.052531	1
0.123286	0.294734	0.448762	0.393436	3
0.157126	0.125038	0.430838	0.363143	2
0.0677785	0.102366	0.0446038	0.0415806	1
0	0.0963352	0	0	0
0.046204	0.18863	0.247874	0.236421	2
0	0.0345469	0	0	0
0.0303248	0.441934	0.375092	0.363717	3
0	0.0475429	0	0	0
-0.00382758	0.346348	0.420449	0.422058	1
0.00641893	0.310875	0.473172	0.470135	6
0.049691	0.190239	0.607956	0.577746	5
0	0.00144636	0	0	0
0	0.0873639	0	0	0
0.0923068	0.249838	0.695253	0.631077	2
0.0427474	0.367086	0.399906	0.382811	5
0	0.01415	0	0	0
0.044276	0.197765	0.370842	0.354423	2
0.107531	0.488021	0.715195	0.638289	4
0	0.127481	0	0	0
0.0310653	0.154867	0.0618516	0.0599302	2
0.168774	0.160681	0.55151	0.45843	3
0.0224487	0.475691	0.391178	0.382397	5
0.060126	0.170031	0.0982959	0.0923858	1
-0.00255382	0.176661	0.00623408	0.00625	1
0	0.237843	0	0	0
0.0151955	0.0909017	0.287784	0.283411	1
0.224062	0.483348	0.771471	0.598613	6
0.0710875	0.390961	0.673812	0.625912	7
-0.00217901	0.310161	0.50281	0.503906	2
0.0152933	0.24261	0.480075	0.472733	2
0.0537446	0.457355	0.295369	0.279494	3
0.118154	0.177336	0.287434	0.253472	2
0.0114774	0.16008	0.438328	0.433297	3
0.110241	0.486341	0.670604	0.596676	3
0.038167	0.15451	0.0857431	0.0824705	1
0.100382	0.450843	0.701206	0.630818	5
0.0313968	0.367961	0.553801	0.536413	3
0	0.105436	0	0	0
0	0.0895694	0	0	0
0	0.131064	0	0	0
0.0377487	0.375025	0.621781	0.59831	3
0	0.108884	0	0	0
0	0.138044	0	0	0
0.115306	0.467935	0.25352	0.224288	4
0	0.109611	0	0	0
0.138572	0.189487	0.510983	0.440175	2
0.0998239	0.314565	0.0706359	0.0635847	2
0.153321	0.161703	0.248582	0.21047	1
0.00983533	0.202223	0.112575	0.111468	3
0.00569805	0.272014	0.018666	0.0185596	1
0	0.129139	0	0	0
0	0.244369	0	0	0
0	0.0580803	0	0	0
0.0882798	0.403696	0.621173	0.566336	2
0	0.0348037	0	0	0
0.0165769	0.351337	0.172603	0.169742	2
0.0111223	0.248815	0.28119	0.278062	4
0.032531	0.367294	0.312022	0.301872	2
0.00125476	0.138554	0.0549051	0.0548362	1
0	0.0472556	0	0	0
0.0110432	0.336121	0.0957988	0.0947408	1
0	0.0494032	0	0	0
0.0636668	0.3238	0.448632	0.420069	3
0.00354703	0.0948691	0.210293	0.209547	1
0	0.111823	0	0	0
0.00673178	0.446901	0.024882	0.0247145	2
0	0.168022	0	0	0
0.052254	0.427539	0.250571	0.237477	2
0.12718	0.373815	0.273188	0.238444	3
0.00569805	0.183678	0.018666	0.0185596	1
0.0113663	0.295435	0.444371	0.43932	4
0.0252683	0.148561	0.155997	0.152055	3
0	0.0911031	0	0	0
0.0238263	0.231976	0.501525	0.489575	2
0.00462581	0.250067	0.49495	0.49266	1
0	0.0460029	0	0	0
0.00616551	0.178632	0.494516	0.491467	1
0	0.0190934	0	0	0
0.0155337	0.346828	0.454273	0.447217	2
0.10284	0.411618	0.732591	0.657251	9
0	0.0195368	0	0	0
0.00527808	0.409552	0.240974	0.239702	2
0	0.291527	0	0	0
0.0178494	0.376117	0.773026	0.759228	6
0.079042	0.0361678	0.50838	0.468197	1
0.0421918	0.472191	0.588024	0.563214	6
0.015488	0.194368	0.312007	0.307175	1
0.289534	0.429631	0.769838	0.546944	3
-0.00451647	0.243745	0.106272	0.106752	1
0	0.0150591	0	0	0
0	0.0457081	0	0	0
0	0.00461266	0	0	0
0.0784261	0.233323	0.492912	0.454255	2
0.148879	0.408169	0.33108	0.281789	5
0.0189452	0.390425	0.579503	0.568525	3
0	0.105857	0	0	0
0.103229	0.436349	0.704463	0.631742	5
